"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"04/01/2017 20:00 - 04/01/2017 21:00","BZN|SE4","4042.00","3951.00"
"04/01/2017 21:00 - 04/01/2017 22:00","BZN|SE4","3928.00","3788.00"
"04/01/2017 22:00 - 04/01/2017 23:00","BZN|SE4","3748.00","3624.00"
"04/01/2017 23:00 - 05/01/2017 00:00","BZN|SE4","3608.00","3431.00"
"05/01/2017 00:00 - 05/01/2017 01:00","BZN|SE4","3557.00","3255.00"
"05/01/2017 01:00 - 05/01/2017 02:00","BZN|SE4","3482.00","3202.00"
"05/01/2017 02:00 - 05/01/2017 03:00","BZN|SE4","3488.00","3186.00"
"05/01/2017 03:00 - 05/01/2017 04:00","BZN|SE4","3516.00","3223.00"
"05/01/2017 04:00 - 05/01/2017 05:00","BZN|SE4","3602.00","3287.00"
"05/01/2017 05:00 - 05/01/2017 06:00","BZN|SE4","3821.00","3468.00"
"05/01/2017 06:00 - 05/01/2017 07:00","BZN|SE4","4105.00","3819.00"
"05/01/2017 07:00 - 05/01/2017 08:00","BZN|SE4","4435.00","4166.00"
"05/01/2017 08:00 - 05/01/2017 09:00","BZN|SE4","4632.00","4330.00"
"05/01/2017 09:00 - 05/01/2017 10:00","BZN|SE4","4717.00","4360.00"
"05/01/2017 10:00 - 05/01/2017 11:00","BZN|SE4","4762.00","4416.00"
"05/01/2017 11:00 - 05/01/2017 12:00","BZN|SE4","4676.00","4448.00"
"05/01/2017 12:00 - 05/01/2017 13:00","BZN|SE4","4562.00","4417.00"
"05/01/2017 13:00 - 05/01/2017 14:00","BZN|SE4","4467.00","4394.00"
"05/01/2017 14:00 - 05/01/2017 15:00","BZN|SE4","4509.00","4400.00"
"05/01/2017 15:00 - 05/01/2017 16:00","BZN|SE4","4607.00","4487.00"
"05/01/2017 16:00 - 05/01/2017 17:00","BZN|SE4","4713.00","4634.00"
"05/01/2017 17:00 - 05/01/2017 18:00","BZN|SE4","4749.00","4675.00"
"05/01/2017 18:00 - 05/01/2017 19:00","BZN|SE4","4690.00","4621.00"
"05/01/2017 19:00 - 05/01/2017 20:00","BZN|SE4","4644.00","4534.00"
"05/01/2017 20:00 - 05/01/2017 21:00","BZN|SE4","4494.00","4432.00"
"05/01/2017 21:00 - 05/01/2017 22:00","BZN|SE4","4326.00","4310.00"
"05/01/2017 22:00 - 05/01/2017 23:00","BZN|SE4","4178.00","4162.00"
"05/01/2017 23:00 - 06/01/2017 00:00","BZN|SE4","4008.00","3995.00"
"06/01/2017 00:00 - 06/01/2017 01:00","BZN|SE4","3867.00","3751.00"
"06/01/2017 01:00 - 06/01/2017 02:00","BZN|SE4","3809.00","3690.00"
"06/01/2017 02:00 - 06/01/2017 03:00","BZN|SE4","3759.00","3686.00"
"06/01/2017 03:00 - 06/01/2017 04:00","BZN|SE4","3752.00","3695.00"
"06/01/2017 04:00 - 06/01/2017 05:00","BZN|SE4","3845.00","3730.00"
"06/01/2017 05:00 - 06/01/2017 06:00","BZN|SE4","3945.00","3797.00"
"06/01/2017 06:00 - 06/01/2017 07:00","BZN|SE4","4167.00","4125.00"
"06/01/2017 07:00 - 06/01/2017 08:00","BZN|SE4","4372.00","4299.00"
"06/01/2017 08:00 - 06/01/2017 09:00","BZN|SE4","4529.00","4417.00"
"06/01/2017 09:00 - 06/01/2017 10:00","BZN|SE4","4630.00","4291.00"
"06/01/2017 10:00 - 06/01/2017 11:00","BZN|SE4","4591.00","4400.00"
"06/01/2017 11:00 - 06/01/2017 12:00","BZN|SE4","4524.00","4443.00"
"06/01/2017 12:00 - 06/01/2017 13:00","BZN|SE4","4437.00","4398.00"
"06/01/2017 13:00 - 06/01/2017 14:00","BZN|SE4","4356.00","4340.00"
"06/01/2017 14:00 - 06/01/2017 15:00","BZN|SE4","4372.00","4295.00"
"06/01/2017 15:00 - 06/01/2017 16:00","BZN|SE4","4439.00","4385.00"
"06/01/2017 16:00 - 06/01/2017 17:00","BZN|SE4","4633.00","4576.00"
"06/01/2017 17:00 - 06/01/2017 18:00","BZN|SE4","4699.00","4662.00"
"06/01/2017 18:00 - 06/01/2017 19:00","BZN|SE4","4581.00","4604.00"
"06/01/2017 19:00 - 06/01/2017 20:00","BZN|SE4","4437.00","4518.00"
"06/01/2017 20:00 - 06/01/2017 21:00","BZN|SE4","4248.00","4369.00"
"06/01/2017 21:00 - 06/01/2017 22:00","BZN|SE4","4044.00","4164.00"
"06/01/2017 22:00 - 06/01/2017 23:00","BZN|SE4","3853.00","3987.00"
"06/01/2017 23:00 - 07/01/2017 00:00","BZN|SE4","3658.00","3794.00"
"07/01/2017 00:00 - 07/01/2017 01:00","BZN|SE4","3562.00","3717.00"
"07/01/2017 01:00 - 07/01/2017 02:00","BZN|SE4","3476.00","3606.00"
"07/01/2017 02:00 - 07/01/2017 03:00","BZN|SE4","3489.00","3530.00"
"07/01/2017 03:00 - 07/01/2017 04:00","BZN|SE4","3413.00","3486.00"
"07/01/2017 04:00 - 07/01/2017 05:00","BZN|SE4","3422.00","3467.00"
"07/01/2017 05:00 - 07/01/2017 06:00","BZN|SE4","3495.00","3484.00"
"07/01/2017 06:00 - 07/01/2017 07:00","BZN|SE4","3572.00","3572.00"
"07/01/2017 07:00 - 07/01/2017 08:00","BZN|SE4","3713.00","3714.00"
"07/01/2017 08:00 - 07/01/2017 09:00","BZN|SE4","3903.00","3844.00"
"07/01/2017 09:00 - 07/01/2017 10:00","BZN|SE4","4022.00","3955.00"
"07/01/2017 10:00 - 07/01/2017 11:00","BZN|SE4","4159.00","4035.00"
"07/01/2017 11:00 - 07/01/2017 12:00","BZN|SE4","4179.00","4052.00"
"07/01/2017 12:00 - 07/01/2017 13:00","BZN|SE4","4204.00","4031.00"
"07/01/2017 13:00 - 07/01/2017 14:00","BZN|SE4","4154.00","3988.00"
"07/01/2017 14:00 - 07/01/2017 15:00","BZN|SE4","4057.00","3954.00"
"07/01/2017 15:00 - 07/01/2017 16:00","BZN|SE4","4049.00","4002.00"
"07/01/2017 16:00 - 07/01/2017 17:00","BZN|SE4","4132.00","4166.00"
"07/01/2017 17:00 - 07/01/2017 18:00","BZN|SE4","4131.00","4226.00"
"07/01/2017 18:00 - 07/01/2017 19:00","BZN|SE4","4078.00","4148.00"
"07/01/2017 19:00 - 07/01/2017 20:00","BZN|SE4","3973.00","3984.00"
"07/01/2017 20:00 - 07/01/2017 21:00","BZN|SE4","3850.00","3824.00"
"07/01/2017 21:00 - 07/01/2017 22:00","BZN|SE4","3720.00","3655.00"
"07/01/2017 22:00 - 07/01/2017 23:00","BZN|SE4","3545.00","3488.00"
"07/01/2017 23:00 - 08/01/2017 00:00","BZN|SE4","3397.00","3332.00"
"08/01/2017 00:00 - 08/01/2017 01:00","BZN|SE4","3260.00","3217.00"
"08/01/2017 01:00 - 08/01/2017 02:00","BZN|SE4","3169.00","3128.00"
"08/01/2017 02:00 - 08/01/2017 03:00","BZN|SE4","3126.00","3083.00"
"08/01/2017 03:00 - 08/01/2017 04:00","BZN|SE4","3106.00","3061.00"
"08/01/2017 04:00 - 08/01/2017 05:00","BZN|SE4","3102.00","3069.00"
"08/01/2017 05:00 - 08/01/2017 06:00","BZN|SE4","3155.00","3095.00"
"08/01/2017 06:00 - 08/01/2017 07:00","BZN|SE4","3257.00","3184.00"
"08/01/2017 07:00 - 08/01/2017 08:00","BZN|SE4","3373.00","3310.00"
"08/01/2017 08:00 - 08/01/2017 09:00","BZN|SE4","3481.00","3430.00"
"08/01/2017 09:00 - 08/01/2017 10:00","BZN|SE4","3590.00","3563.00"
"08/01/2017 10:00 - 08/01/2017 11:00","BZN|SE4","3688.00","3685.00"
"08/01/2017 11:00 - 08/01/2017 12:00","BZN|SE4","3752.00","3742.00"
"08/01/2017 12:00 - 08/01/2017 13:00","BZN|SE4","3772.00","3748.00"
"08/01/2017 13:00 - 08/01/2017 14:00","BZN|SE4","3773.00","3714.00"
"08/01/2017 14:00 - 08/01/2017 15:00","BZN|SE4","3811.00","3685.00"
"08/01/2017 15:00 - 08/01/2017 16:00","BZN|SE4","3852.00","3740.00"
"08/01/2017 16:00 - 08/01/2017 17:00","BZN|SE4","4025.00","3927.00"
"08/01/2017 17:00 - 08/01/2017 18:00","BZN|SE4","4078.00","4054.00"
"08/01/2017 18:00 - 08/01/2017 19:00","BZN|SE4","4038.00","4038.00"
"08/01/2017 19:00 - 08/01/2017 20:00","BZN|SE4","3950.00","3962.00"
"08/01/2017 20:00 - 08/01/2017 21:00","BZN|SE4","3861.00","3830.00"
"08/01/2017 21:00 - 08/01/2017 22:00","BZN|SE4","3675.00","3649.00"
"08/01/2017 22:00 - 08/01/2017 23:00","BZN|SE4","3426.00","3455.00"
"08/01/2017 23:00 - 09/01/2017 00:00","BZN|SE4","3227.00","3264.00"
"09/01/2017 00:00 - 09/01/2017 01:00","BZN|SE4","3134.00","3222.00"
"09/01/2017 01:00 - 09/01/2017 02:00","BZN|SE4","3046.00","3147.00"
"09/01/2017 02:00 - 09/01/2017 03:00","BZN|SE4","3032.00","3112.00"
"09/01/2017 03:00 - 09/01/2017 04:00","BZN|SE4","3021.00","3116.00"
"09/01/2017 04:00 - 09/01/2017 05:00","BZN|SE4","3054.00","3166.00"
"09/01/2017 05:00 - 09/01/2017 06:00","BZN|SE4","3217.00","3339.00"
"09/01/2017 06:00 - 09/01/2017 07:00","BZN|SE4","3614.00","3880.00"
"09/01/2017 07:00 - 09/01/2017 08:00","BZN|SE4","3990.00","4329.00"
"09/01/2017 08:00 - 09/01/2017 09:00","BZN|SE4","4067.00","4445.00"
"09/01/2017 09:00 - 09/01/2017 10:00","BZN|SE4","4010.00","4417.00"
"09/01/2017 10:00 - 09/01/2017 11:00","BZN|SE4","4095.00","4457.00"
"09/01/2017 11:00 - 09/01/2017 12:00","BZN|SE4","4150.00","4458.00"
"09/01/2017 12:00 - 09/01/2017 13:00","BZN|SE4","4177.00","4406.00"
"09/01/2017 13:00 - 09/01/2017 14:00","BZN|SE4","4182.00","4400.00"
"09/01/2017 14:00 - 09/01/2017 15:00","BZN|SE4","4117.00","4378.00"
"09/01/2017 15:00 - 09/01/2017 16:00","BZN|SE4","4195.00","4418.00"
"09/01/2017 16:00 - 09/01/2017 17:00","BZN|SE4","4328.00","4468.00"
"09/01/2017 17:00 - 09/01/2017 18:00","BZN|SE4","4345.00","4521.00"
"09/01/2017 18:00 - 09/01/2017 19:00","BZN|SE4","4237.00","4420.00"
"09/01/2017 19:00 - 09/01/2017 20:00","BZN|SE4","4067.00","4304.00"
"09/01/2017 20:00 - 09/01/2017 21:00","BZN|SE4","3863.00","4138.00"
"09/01/2017 21:00 - 09/01/2017 22:00","BZN|SE4","3646.00","3931.00"
"09/01/2017 22:00 - 09/01/2017 23:00","BZN|SE4","3391.00","3588.00"
"09/01/2017 23:00 - 10/01/2017 00:00","BZN|SE4","3144.00","3325.00"
"10/01/2017 00:00 - 10/01/2017 01:00","BZN|SE4","3023.00","3188.00"
"10/01/2017 01:00 - 10/01/2017 02:00","BZN|SE4","2981.00","3127.00"
"10/01/2017 02:00 - 10/01/2017 03:00","BZN|SE4","2981.00","3092.00"
"10/01/2017 03:00 - 10/01/2017 04:00","BZN|SE4","3008.00","3107.00"
"10/01/2017 04:00 - 10/01/2017 05:00","BZN|SE4","3047.00","3159.00"
"10/01/2017 05:00 - 10/01/2017 06:00","BZN|SE4","3279.00","3342.00"
"10/01/2017 06:00 - 10/01/2017 07:00","BZN|SE4","3760.00","3794.00"
"10/01/2017 07:00 - 10/01/2017 08:00","BZN|SE4","4224.00","4259.00"
"10/01/2017 08:00 - 10/01/2017 09:00","BZN|SE4","4290.00","4378.00"
"10/01/2017 09:00 - 10/01/2017 10:00","BZN|SE4","4232.00","4361.00"
"10/01/2017 10:00 - 10/01/2017 11:00","BZN|SE4","4270.00","4394.00"
"10/01/2017 11:00 - 10/01/2017 12:00","BZN|SE4","4319.00","4393.00"
"10/01/2017 12:00 - 10/01/2017 13:00","BZN|SE4","4291.00","4318.00"
"10/01/2017 13:00 - 10/01/2017 14:00","BZN|SE4","4283.00","4314.00"
"10/01/2017 14:00 - 10/01/2017 15:00","BZN|SE4","4251.00","4295.00"
"10/01/2017 15:00 - 10/01/2017 16:00","BZN|SE4","4289.00","4341.00"
"10/01/2017 16:00 - 10/01/2017 17:00","BZN|SE4","4360.00","4402.00"
"10/01/2017 17:00 - 10/01/2017 18:00","BZN|SE4","4386.00","4481.00"
"10/01/2017 18:00 - 10/01/2017 19:00","BZN|SE4","4283.00","4387.00"
"10/01/2017 19:00 - 10/01/2017 20:00","BZN|SE4","4193.00","4265.00"
"10/01/2017 20:00 - 10/01/2017 21:00","BZN|SE4","4046.00","4092.00"
"10/01/2017 21:00 - 10/01/2017 22:00","BZN|SE4","3862.00","3879.00"
"10/01/2017 22:00 - 10/01/2017 23:00","BZN|SE4","3578.00","3624.00"
"10/01/2017 23:00 - 11/01/2017 00:00","BZN|SE4","3357.00","3354.00"
"11/01/2017 00:00 - 11/01/2017 01:00","BZN|SE4","3163.00","3229.00"
"11/01/2017 01:00 - 11/01/2017 02:00","BZN|SE4","3064.00","3166.00"
"11/01/2017 02:00 - 11/01/2017 03:00","BZN|SE4","3047.00","3136.00"
"11/01/2017 03:00 - 11/01/2017 04:00","BZN|SE4","3054.00","3142.00"
"11/01/2017 04:00 - 11/01/2017 05:00","BZN|SE4","3109.00","3187.00"
"11/01/2017 05:00 - 11/01/2017 06:00","BZN|SE4","3290.00","3354.00"
"11/01/2017 06:00 - 11/01/2017 07:00","BZN|SE4","3688.00","3775.00"
"11/01/2017 07:00 - 11/01/2017 08:00","BZN|SE4","4111.00","4204.00"
"11/01/2017 08:00 - 11/01/2017 09:00","BZN|SE4","4221.00","4310.00"
"11/01/2017 09:00 - 11/01/2017 10:00","BZN|SE4","4214.00","4289.00"
"11/01/2017 10:00 - 11/01/2017 11:00","BZN|SE4","4342.00","4321.00"
"11/01/2017 11:00 - 11/01/2017 12:00","BZN|SE4","4419.00","4315.00"
"11/01/2017 12:00 - 11/01/2017 13:00","BZN|SE4","4421.00","4247.00"
"11/01/2017 13:00 - 11/01/2017 14:00","BZN|SE4","4521.00","4245.00"
"11/01/2017 14:00 - 11/01/2017 15:00","BZN|SE4","4528.00","4234.00"
"11/01/2017 15:00 - 11/01/2017 16:00","BZN|SE4","4539.00","4277.00"
"11/01/2017 16:00 - 11/01/2017 17:00","BZN|SE4","4471.00","4331.00"
"11/01/2017 17:00 - 11/01/2017 18:00","BZN|SE4","4443.00","4401.00"
"11/01/2017 18:00 - 11/01/2017 19:00","BZN|SE4","4269.00","4320.00"
"11/01/2017 19:00 - 11/01/2017 20:00","BZN|SE4","4094.00","4221.00"
"11/01/2017 20:00 - 11/01/2017 21:00","BZN|SE4","3888.00","4056.00"
"11/01/2017 21:00 - 11/01/2017 22:00","BZN|SE4","3662.00","3858.00"
"11/01/2017 22:00 - 11/01/2017 23:00","BZN|SE4","3451.00","3617.00"
"11/01/2017 23:00 - 12/01/2017 00:00","BZN|SE4","3218.00","3355.00"
"12/01/2017 00:00 - 12/01/2017 01:00","BZN|SE4","3123.00","3197.00"
"12/01/2017 01:00 - 12/01/2017 02:00","BZN|SE4","3058.00","3139.00"
"12/01/2017 02:00 - 12/01/2017 03:00","BZN|SE4","3033.00","3111.00"
"12/01/2017 03:00 - 12/01/2017 04:00","BZN|SE4","3050.00","3113.00"
"12/01/2017 04:00 - 12/01/2017 05:00","BZN|SE4","3081.00","3154.00"
"12/01/2017 05:00 - 12/01/2017 06:00","BZN|SE4","3261.00","3344.00"
"12/01/2017 06:00 - 12/01/2017 07:00","BZN|SE4","3698.00","3777.00"
"12/01/2017 07:00 - 12/01/2017 08:00","BZN|SE4","4095.00","4216.00"
"12/01/2017 08:00 - 12/01/2017 09:00","BZN|SE4","4182.00","4313.00"
"12/01/2017 09:00 - 12/01/2017 10:00","BZN|SE4","4205.00","4293.00"
"12/01/2017 10:00 - 12/01/2017 11:00","BZN|SE4","4219.00","4327.00"
"12/01/2017 11:00 - 12/01/2017 12:00","BZN|SE4","4177.00","4321.00"
"12/01/2017 12:00 - 12/01/2017 13:00","BZN|SE4","4069.00","4242.00"
"12/01/2017 13:00 - 12/01/2017 14:00","BZN|SE4","4030.00","4238.00"
"12/01/2017 14:00 - 12/01/2017 15:00","BZN|SE4","3998.00","4214.00"
"12/01/2017 15:00 - 12/01/2017 16:00","BZN|SE4","4006.00","4252.00"
"12/01/2017 16:00 - 12/01/2017 17:00","BZN|SE4","4112.00","4303.00"
"12/01/2017 17:00 - 12/01/2017 18:00","BZN|SE4","4189.00","4373.00"
"12/01/2017 18:00 - 12/01/2017 19:00","BZN|SE4","4141.00","4293.00"
"12/01/2017 19:00 - 12/01/2017 20:00","BZN|SE4","4032.00","4195.00"
"12/01/2017 20:00 - 12/01/2017 21:00","BZN|SE4","3933.00","4046.00"
"12/01/2017 21:00 - 12/01/2017 22:00","BZN|SE4","3779.00","3855.00"
"12/01/2017 22:00 - 12/01/2017 23:00","BZN|SE4","3607.00","3626.00"
"12/01/2017 23:00 - 13/01/2017 00:00","BZN|SE4","3368.00","3385.00"
"13/01/2017 00:00 - 13/01/2017 01:00","BZN|SE4","3248.00","3261.00"
"13/01/2017 01:00 - 13/01/2017 02:00","BZN|SE4","3156.00","3204.00"
"13/01/2017 02:00 - 13/01/2017 03:00","BZN|SE4","3158.00","3184.00"
"13/01/2017 03:00 - 13/01/2017 04:00","BZN|SE4","3179.00","3199.00"
"13/01/2017 04:00 - 13/01/2017 05:00","BZN|SE4","3170.00","3256.00"
"13/01/2017 05:00 - 13/01/2017 06:00","BZN|SE4","3385.00","3446.00"
"13/01/2017 06:00 - 13/01/2017 07:00","BZN|SE4","3835.00","3886.00"
"13/01/2017 07:00 - 13/01/2017 08:00","BZN|SE4","4236.00","4338.00"
"13/01/2017 08:00 - 13/01/2017 09:00","BZN|SE4","4338.00","4456.00"
"13/01/2017 09:00 - 13/01/2017 10:00","BZN|SE4","4242.00","4451.00"
"13/01/2017 10:00 - 13/01/2017 11:00","BZN|SE4","4244.00","4453.00"
"13/01/2017 11:00 - 13/01/2017 12:00","BZN|SE4","4246.00","4393.00"
"13/01/2017 12:00 - 13/01/2017 13:00","BZN|SE4","4151.00","4291.00"
"13/01/2017 13:00 - 13/01/2017 14:00","BZN|SE4","4073.00","4204.00"
"13/01/2017 14:00 - 13/01/2017 15:00","BZN|SE4","4021.00","4119.00"
"13/01/2017 15:00 - 13/01/2017 16:00","BZN|SE4","4030.00","4112.00"
"13/01/2017 16:00 - 13/01/2017 17:00","BZN|SE4","4135.00","4193.00"
"13/01/2017 17:00 - 13/01/2017 18:00","BZN|SE4","4216.00","4299.00"
"13/01/2017 18:00 - 13/01/2017 19:00","BZN|SE4","4081.00","4217.00"
"13/01/2017 19:00 - 13/01/2017 20:00","BZN|SE4","3916.00","4062.00"
"13/01/2017 20:00 - 13/01/2017 21:00","BZN|SE4","3740.00","3882.00"
"13/01/2017 21:00 - 13/01/2017 22:00","BZN|SE4","3546.00","3711.00"
"13/01/2017 22:00 - 13/01/2017 23:00","BZN|SE4","3368.00","3542.00"
"13/01/2017 23:00 - 14/01/2017 00:00","BZN|SE4","3205.00","3368.00"
"14/01/2017 00:00 - 14/01/2017 01:00","BZN|SE4","3070.00","3216.00"
"14/01/2017 01:00 - 14/01/2017 02:00","BZN|SE4","2981.00","3145.00"
