utc_time,Denmark,Sweden,Finland,Norway
2015-02-26T23:00:00Z,588.6973567102137,1110.254890142518,693.6907522268409,640.14499472981
2015-02-27T00:00:00Z,425.6117764902612,802.6833325551409,501.5190743169324,462.8069844594503
2015-02-27T01:00:00Z,290.42196887470305,547.7218599211062,342.21834318692737,315.80262356474805
2015-02-27T02:00:00Z,221.38148609002374,417.5148312063116,260.86458154504584,240.7285316148202
2015-02-27T03:00:00Z,207.34347007066506,391.0398084195793,244.32290392199695,225.4637005631787
2015-02-27T04:00:00Z,257.27707051935863,485.21217635816083,303.162096015906,279.76111506949866
2015-02-27T05:00:00Z,493.7818000872921,931.2487171233458,581.847131525492,536.9345457587166
2015-02-27T06:00:00Z,1025.399745685273,1933.854584229725,1208.2784351073124,1115.0118262222177
2015-02-27T07:00:00Z,1717.3593329109262,3238.8570727604347,2023.6481001853579,1867.4433791565577
2015-02-27T08:00:00Z,2135.0802085439427,4026.6585459619955,2515.8689419061757,2321.6698584887176
2015-02-27T09:00:00Z,2163.802338062945,4080.8271002969127,2549.7136252642517,2352.902082041271
2015-02-27T10:00:00Z,1926.3040476971494,3632.9167516711914,2269.8578287016458,2094.6482609537243
2015-02-27T11:00:00Z,1790.9405444121137,3377.627697361724,2110.352423509077,1947.455024718994
2015-02-27T12:00:00Z,1773.2093808586696,3344.1875760179846,2089.4589303702915,1928.1742933379285
2015-02-27T13:00:00Z,1850.1619819133011,3489.3164791058703,2180.13592611851,2011.8519620671445
2015-02-27T14:00:00Z,1967.3952264619948,3710.412737758738,2318.2775648909906,2139.330493877036
2015-02-27T15:00:00Z,2116.4617965035627,3991.5451166610114,2493.9299606854424,2301.424339901595
2015-02-27T16:00:00Z,2304.6923291223275,4346.538844647099,2715.7311600216317,2506.1047787345183
2015-02-27T17:00:00Z,2446.3852611365787,4613.76489700543,2882.694839191974,2660.180587269469
2015-02-27T18:00:00Z,2391.538695725653,4510.326913530709,2818.0664613280455,2600.54085230934
2015-02-27T19:00:00Z,2050.570534799287,3867.277367382084,2416.287079541483,2229.7746868232525
2015-02-27T20:00:00Z,1584.850573766033,2988.951928545979,1867.5065789773496,1723.354369825034
2015-02-27T21:00:00Z,1151.7132214026126,2172.07572197998,1357.1197522764676,1252.3641318266457
2015-02-27T22:00:00Z,862.1043673182897,1625.887357431286,1015.8595418281303,937.4456830543775
2015-02-27T23:00:00Z,643.8166234144892,1214.2071751357314,758.6404672993723,700.0812629867238
2015-02-28T00:00:00Z,464.2665694909738,875.5844123159146,547.0678985611639,504.83991017191215
2015-02-28T01:00:00Z,315.1278700147268,594.3160007702749,371.33050914268745,342.66763115278246
2015-02-28T02:00:00Z,233.85861986330164,441.046105177299,275.5669956363675,254.2960712725017
2015-02-28T03:00:00Z,213.05948344156766,401.81993461655924,251.05836072302338,231.67924970313032
2015-02-28T04:00:00Z,258.8797306431116,488.23471624109266,305.0505884545724,281.50383540751193
2015-02-28T05:00:00Z,482.6532676076008,910.2608403053953,568.7338399860874,524.8334648138785
2015-02-28T06:00:00Z,989.565016610451,1866.27200934849,1166.052629463013,1076.045416413726
2015-02-28T07:00:00Z,1654.602511705463,3120.500727451646,1949.698682860536,1799.202092658636
2015-02-28T08:00:00Z,2077.7936529536814,3918.618858406855,2448.365404839243,2259.376896904267
2015-02-28T09:00:00Z,2135.532363967933,4027.5112893366136,2516.401738652443,2322.161528832075
2015-02-28T10:00:00Z,1934.0468160926362,3647.519240329148,2278.9815096072275,2103.0676879771804
2015-02-28T11:00:00Z,1823.6330507280281,3439.284191304717,2148.8755951183402,1983.00460557707
2015-02-28T12:00:00Z,1817.275822826603,3427.2947653545984,2141.384564022735,1976.0918046700037
2015-02-28T13:00:00Z,1883.5168332268406,3552.2221238462844,2219.439571080336,2048.121771800348
2015-02-28T14:00:00Z,1973.9382528954866,3722.752570800815,2325.987531441296,2146.4453306841706
